2008                              98                         564                       93                    5948
2009                              118                        561                       91                    6494
2010                              122                        580                       94                    6923
2011                              122                        583                       94                    6923
2012                              123                        589                       91                    6960
2013                              124                        585                       94                    6980
2014                              140                        569                       94                    7712
2015                              127                        559                       96                    7541
2016                              127                        567                       96                    7541
2017                              127                        567                       90                    7541
2018                              132                        574                       93                    7747
