2008                              202                        562                      144                    16123
2009                              202                        562                      145                    16123
2010                              202                        564                      145                    16103
2011                              209                        733                       87                    19669
2012                              219                        728                       88                    20456
2013                              217                        865                      144                    20462
2014                              223                        911                      131                    19499
2015                              244                        913                      133                    19667
2016                              270                        915                      131                    21908
2017                              276                        910                      132                    22154
2018                              277                        911                      132                    22154
