2008                              12                          76                       5                     5158
2009                              12                          77                       5                     5262
2010                              12                          75                       5                     5294
2011                               8                          42                       4                     2316
2012                               7                          40                       3                     2253
2013                               7                          41                       3                     2287
2014                               8                          79                       2                     2465
2015                               9                          81                       3                     2523
2016                               9                          83                       3                     2523
2017                               9                          81                       4                     2513
2018                               9                          81                       4                     2571
