2008                              330                        2096                     150                    28640
2009                              330                        2117                     150                    28654
2010                              330                        2121                     150                    28654
2011                              334                        2169                     151                    30883
2012                              403                        2618                     164                    31390
2013                              408                        2618                     164                    31557
2014                              409                        2664                     163                    31525
2015                              424                        2817                     221                    32169
2016                              465                        3086                     242                    35826
2017                              472                        2819                     229                    39555
2018                              473                        2819                     233                    39564
